           id sex bt       ct group        response
dog318 dog318   0  1 2.1672930       3  0.816145758
dog319 dog319   0  1 1.4706412      NA  1.128211960
dog320 dog320   0  0 3.8503311       3  1.851200803
dog321 dog321   0  0 4.4843343       1  1.277370245
dog322 dog322   1  0 5.3451343      NA  1.175159977
dog323 dog323   0  0 6.9152207       1  2.045172065
dog324 dog324   1  0 4.0734812       2  1.790262041
dog325 dog325   1  0 3.5382270       3  1.653744717
dog326 dog326   1  1 2.7185114       2  0.661094495
dog327 dog327   0  0 5.8700383       3  1.203998618
dog328 dog328   1  0 5.3705411       3  1.737996166
dog329 dog329   1  0 2.6639308       3  2.118376616
dog330 dog330   1  1 3.1478882      NA  0.930932743
dog331 dog331   1  1 1.9499319       1  0.671636351
dog332 dog332   1  0 5.8896777       3  1.630401209
dog333 dog333   1  1 2.6222461      NA  0.987645839
dog334 dog334   0  0 5.0630023       3  1.346546684
dog335 dog335   0  0 3.1171983      NA  1.893367603
dog336 dog336   0  0 5.1040419       3  0.815710046
dog337 dog337   0  1 1.1744541       1  1.908648266
dog338 dog338   0  0 2.5061137       3  1.531953555
dog339 dog339   0  0 4.1407076       1  2.199178357
dog340 dog340   0  1 3.5353622       1  1.629067373
dog341 dog341   1  0 4.4089642       3  1.497616412
dog342 dog342   0  0 4.8394025      NA  2.185337410
dog343 dog343   1  1 2.0024889       3  1.242081160
dog344 dog344   0  1 2.3810494      NA  0.698610915
dog345 dog345   1  0 4.8354134      NA  3.054022687
dog346 dog346   0  0 3.2011799       3  1.223386537
dog347 dog347   0  1 5.9574711      NA  1.063449383
dog348 dog348   1  0 4.0200359      NA  2.394196983
dog349 dog349   1  1 5.8714372       2  1.125970607
dog350 dog350   0  0 6.2590748       2  2.314927783
dog351 dog351   1  0 6.4834035       1  2.624842907
dog352 dog352   1  1 0.2885416      NA  1.297797451
dog353 dog353   0  0 5.5290352       3  1.925414373
dog354 dog354   1  0 4.8677754       1  1.726745336
dog355 dog355   1  0 3.4759213      NA  1.139098845
dog356 dog356   0  1 2.8445766       1  1.423406602
dog357 dog357   0  0 2.5744540      NA  1.846131830
dog358 dog358   0  0 0.7643378       1  1.621425849
dog359 dog359   1  0 2.4107136       1  2.293266251
dog360 dog360   0  0 1.7270407       3  1.729555577
dog361 dog361   1  1 3.4822081       2  1.247426267
dog362 dog362   1  0 3.8799024       1  2.050140375
dog363 dog363   0  1 3.8223198       1  1.019069931
dog364 dog364   1  1 3.2122950       1  1.955187958
dog365 dog365   0  1 5.0199633       1  0.921459162
dog366 dog366   0  1 4.1839933       1  0.286765859
dog367 dog367   0  0 3.1356562       1  0.770920031
dog368 dog368   0  1 4.4498912       3  1.443798852
dog369 dog369   0  0 2.9221381       2  1.389593121
dog370 dog370   0  0 3.9396170      NA  2.090915564
dog371 dog371   0  0 3.2236541       1  1.246291081
dog372 dog372   0  0 3.3690846      NA  1.143562652
dog373 dog373   0  1 4.3954402       3  1.719955072
dog374 dog374   0  0 5.9199844       1  1.343865631
dog375 dog375   0  1 3.4186154       2  1.165866958
dog376 dog376   0  1 0.1797027      NA  1.277108773
dog377 dog377   1  0 5.2126680      NA  1.768648340
dog378 dog378   0  0 4.3696859       2  1.661454558
dog379 dog379   1  1 2.6189743       1  0.825882045
dog380 dog380   0  0 3.1082021       2  2.417158512
dog381 dog381   0  0 5.4311990       2  1.343483021
dog382 dog382   1  0 2.9010555      NA  1.823122032
dog383 dog383   0  0 3.1389158      NA  2.948256676
dog384 dog384   1  0 3.4898979       3  2.263157036
dog385 dog385   0  0 4.2562677       1  2.750967098
dog386 dog386   1  0 4.4195491       3  2.638740232
dog387 dog387   1  NA 2.3976146       3  0.294896656
dog388 dog388   1  0 2.9725302       1  1.803936360
dog389 dog389   1  0 2.5388725       3  1.117237454
dog390 dog390   1  1 3.3829115      NA  0.397528661
dog391 dog391   0  0 4.7204511      NA  3.084415354
dog392 dog392   0  0 3.7494796      NA  1.535479244
dog393 dog393   0  0 4.5087489      NA  2.956230750
dog394 dog394   1  1 2.8936527       1 -0.002666019
dog395 dog395   0  0 2.3407845       3  2.097425701
dog396 dog396   0  0 5.1606840       1  1.274746463
dog397 dog397   1  1 4.4208411       1  1.033916510
dog398 dog398   1  0 5.2436516       3  1.596936629
dog399 dog399   1  0 3.9198456       1  0.489720831
dog400 dog400   1  1 5.5741221       3  1.312489256
dog401 dog401   1  0 2.5656906       3  1.438403558
dog402 dog402   0  0 2.6583577      NA  1.859226379
dog403 dog403   1  0 4.6015978       1  1.146513421
dog404 dog404   0  1 4.7605631       2 -0.432531924
dog405 dog405   0  0 2.7454035      NA  2.642931979
dog406 dog406   1  1 6.2149545       2  0.850808217
dog407 dog407   0  0 3.4537145       1  1.409786776
dog408 dog408   0  0 3.3546012       3  1.988823178
dog409 dog409   0  1 2.0243281       1  1.150554292
dog410 dog410   1  0 4.7196849       1  2.034179314
dog411 dog411   1  1 6.8704802       1  1.368748459
dog412 dog412   1  0 2.2668221      NA  1.188881989
dog413 dog413   1  1 2.8864166       1  1.280976290
dog414 dog414   1  0 6.0733762       3  2.045284166
dog415 dog415   1  0 2.9431251      NA  0.318432918
dog416 dog416   0  1 4.8709957      NA  1.848217743
dog417 dog417   1  0 4.5845884       1  1.541819828
dog418 dog418   0  0 6.3048182       1  1.012729246
dog419 dog419   1  0 2.9080450      NA  0.498510770
dog748 dog748   0  0 4.7000899       3  0.507777317
dog749 dog749   0  1 3.6919407      NA  0.602749542
dog750 dog750   0  0 2.5708897       3  1.575945608
dog755 dog755   1  1 4.7134516      NA  0.972420301
dog768 dog768   0  0 2.4523040      NA  1.634956755
dog770 dog770   0  0 3.8780263      NA  1.346110221
dog787 dog787   0  0 2.0268787      NA  1.638339007
dog789 dog789   1  0 3.5345685      NA  0.700295817
dog790 dog790   1  0 4.4621306       1  2.013649984
dog708 dog708   0  1 5.1622709       1  0.978886056
dog712 dog712   0  1 4.6977255       1 -0.222806159
